Q,A,label
"일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요드릴게요,1
"led 하나가 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 꺼졌다가 켜지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 1초 간격으로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 1초 간격으로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 2초 간격으로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 2초 간격으로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 3초 간격으로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 3초 간격으로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 4초 간격으로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 4초 간격으로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 초 간격으로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"led 하나가 초 간격으로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 하나가 켜졌다가 꺼지는 코드를 만들어 드릴게요,1
"일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 두개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 두개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 두개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 두개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"시간 간격을 두고 led 두개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"led 두개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 두개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,2
"일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"일정 시간을 간격으로 led 세개가 순서대로 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"일정 시간을 간격으로 led 세개가 번갈아 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"일정 시간을 간격으로 led 세개가 순서대로 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 번갈아 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
"일정 시간을 간격으로 led 세개가 동시에 깜박이는 코드 만들어줘",일정 시간을 간격으로 led 세개가 동시에 켜졌다가 꺼지는 코드를 만들어 드릴게요,3
