Q,A,label
급식의 맛은 어때요?,예전엔 더 맛있었다고 하는데 지금도 충분히 맛있어요,0
이재용은 우리 학교에 방문을 하지는 않는지 궁금합니다,이재용의 모교라면 모를까 우리 학교에는 오실 일 없습니다,0
자판기 관련한 팁이 혹시 있을까요?,과자 자판기에서 Samsung Pay를 이용해 결제할 때 NFC 태그 인식이 되지 않는 경우가 간혹 있는데 10초동안 계속 대고 있으면 인식이 될 수도 있습니다,0
우리 학교는 왜 수학여행이 없나요?,우리 학교는 수학 하기도 바빠서 그런 시간이 안 난다는 소문이 있습니다,0
왜 수학여행을 안 가요?,수학을 탐구하는 여행은 있습니다 바로 수학능력경진대회,0
와이파이는 언제쯤 고쳐질까요?,해결되지 않고 있습니다 정확한 답변은 못 드립니다,0
와이파이가 왜 잘 안 되죠?,다양한 가설들이 있지만 해결이 안 되니 단지 견뎌야 할 뿐입니다 즐기세요!!,0
큰사넷이 자주 에러나는 이유는 무엇인가요,서버는 사람을 담을 수 있는 용량에 한계가 있는데 우리가 한꺼번에 큰사넷을 쓰는 상황이 올 때 서버가 견디지 못하고 에러가 납니다,0
학교 생활 꿀팁이 있나요?,적극적인 참여를 진행합시다 일단 참여하는 게 중요해요! 그 후에 계획,0
진로와 관련 없는 동아리를 들어갔는데 괜찮나요?,모든 건 진로와 연관지을 수 있습니다 힘들겠지만서도 계속 찾아보면 어느 순간 뭔가 보일 거예요 다음 학년에 좋은 동아리 들어가길 기원합니다,0
1인 1기와 관련해서 꼭 알아야 할 점이 있을까요?,금요일에 하는 1인 1기를 되도록이면 신청하지 마세요 남들 집가는 상황에 1인 1기 해야합니다 ,0
기숙사 라면을 어떻게 보관할까요?,라면은 케리어 넣는 침대 밑 공간에 보관합시다,0
학교 생활에 대해 조언할 점이 있을까요?,면학 끝나고 산책을 하면 기분이 참 좋습니다 단 커플이 아주 많아서 혼자라면 조심하시길,0
충남삼성고등학교 기대해도 돼요?,아주 큰 기대는 하지 않으면 좋겠습니다 물론 좋은 친구들이 아주 많을 거예요 그 건 기대하셔도 좋습니다,0
충남삼성고등학교 건축가가 누구예요?,잘 모르겠습니다,0
교복은 어떻게 입으면 좋을까요?,교복 혼용이 가능합니다 정복 하복 바지 2개 사는것을 추천합니다,0
어떤 과목을 선택하는 게 좋을까요?,1학년은 공통과목이라 별로 상관은 없고요 2 3학년 때에는 진로에 맞는 진로선택을 하시면 됩니다 과목 선택은 1학년부터 교육을 잘 받습니다 걱정하실 필요 없어요,0
기숙사 시설은 언제 바꾸나요?,현재도 기숙사 시설은 좋기 때문에 완전 리모델링에는 꽤나 나중에 할 수도 있고 안 할 수도 있을 것 같습니다,0
연애 해도 돼요?,연애는 가급적 하지 맙시다 솔로인 분들도 마음이 아플 뿐더러 성적에도 좋지 않습니다,0
기숙사 다른 방에서 놀아도 돼요?,잘 숨으면 가능합니다 사감쌤이 점호를 하러 오면 책상 밑 공간에 숨으세요 공간이 넓습니다,0
전학 간 사람 있어요?,꿈을 찾아 떠난 분들이 몇몇 있습니다 성적이 안 좋아서 떠나간 사람도 있구요 매사에 최선을 다하다 보면 최악은 면할 수 있으니 화이팅하세요,0
몰폰하고 싶은데 팁 주세요,면학실 자리 선정이 선생님 보이는 곳일 때 아주 좋습니다 그 외 다른 자리에서는 하지 않는 게 좋습니다,0
우리 학교의 전설을 몇 가지 말해주실 수 있나요?,우리 학교 지하 17층에서 방울토마토를 재배했다고 합니다,0
